Полное имя;Имя;Печенье?;Масса нетто;Масса брутто;Белки;Жиры;Углеводы;энерг.ценность;ТУ/TU;Категория;Состав:;Срок годности;Штрих код (название файла);Жирным;
Минифрутия;Тутти-Фрутти;Печенье сахарное «Минифрутия» со вкусом  тутти-фрутти;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071489;натуральный краситель «Кармин».;
Минифрутия;Ирисо-сливочный вкус;Печенье сахарное «Минифрутия» с ирисо-сливочным вкусом;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071588;;
Минифрутия;Клубничный вкус;Печенье сахарное «Минифрутия» со вкусом клубники;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071540;натуральный краситель «Кармин».;
Минифрутия;Шоколадная;Печенье сахарное «Минифрутия» шоколадная;300 г x 20 шт;6,3 кг;-;-;-;-  ккал/кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, какао-порошок, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071564;;
Минифрутия;Яблоко и корица;Печенье сахарное «Минифрутия» со вкусом яблока и корицы.;300 г x 20 шт;6,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль, ;6 мес;4627121071700;натуральный краситель «МИХРОМОВЫЙ ЗЕЛЕНЫЙ».;
Фрутия;Топленое молоко;Печенье сахарное «Фрутия» со вкусом топленого молока;465 г x 18 шт;8,7 кг;7;19;65,4;442 ккал /1812 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром, сливки сухие, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный. ;6 мес;4627121071601;;
Фрутия;Малина со сливками;Печенье сахарное «Фрутия» со вкусом малины со сливками;465 г x 18 шт;8,7 кг;6,5;14,3;66,7;420 ккал /1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), молоко цельное сгущенное с сахаром,  сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль», крахмал кукурузный.;6 мес;4627121071687;;
Минифрутия;Апельсиновый вкус;Печенье сахарное «Минифрутия» со вкусом апельсина;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071786;натуральный краситель «Паприка».;
Минифрутия;Тутти-Фрутти;Печенье сахарное «Минифрутия» со вкусом  тутти-фрутти;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль,;6 мес;4627121071793;натуральный краситель «Кармин».;
Минифрутия;Ирисо-сливочный вкус;Печенье сахарное «Минифрутия» с ирисо-сливочным вкусом;4,0 кг;4,3 кг;6,9;9,8;64,9;376 ккал/1541 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, маргарин, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка –  ваниль.;6 мес;4627121071809;;
